Index,City,Average_price,State,SunHours,MaxTempSum,Overall_Rank
5,Antioch,237.8,CA,1277.8,320.3,306
4,Pittsburg,266.1,CA,1352.5,321.0,304
6,Oakley,245.7,CA,1277.8,320.3,296
11,Benicia,336.4,CA,1329.8,316.5,295
1,Vacaville,253.4,CA,1286.4,334.2,293
7,Brentwood,251.9,CA,1277.8,320.3,292
10,Martinez,366.6,CA,1329.8,316.5,284
3,Fairfield,240.5,CA,1258.0,321.8,284
2,Suisun+City,239.2,CA,1258.0,321.8,284
24,American+Canyon,284.4,CA,1231.9,309.8,265
8,Gilroy,352.4,CA,1276.8,319.1,261
9,Morgan+Hill,426.1,CA,1289.5,316.9,258
36,Vallejo,263.8,CA,1206.1,302.2,257
47,Hercules,328.3,CA,1189.3,290.3,248
49,San+Pablo,325.9,CA,1168.5,289.4,243
48,Pinole,346.4,CA,1189.1,290.3,241
20,Dublin,487.9,CA,1278.3,311.6,236
65,Richmond,377.2,CA,1168.5,219.4,236
31,Rohnert+Park,352.3,CA,1208.8,304.5,235
13,Livermore,463.6,CA,1275.7,313.3,234
37,Santa+Rosa,388.7,CA,1220.1,302.0,233
23,Napa,387.2,CA,1231.9,309.8,232
38,Hayward,435.8,CA,1222.5,301.1,230
19,San+Jose,656.7,CA,1362.15,311.8,221
21,Pleasanton,558.1,CA,1278.3,311.6,221
17,Concord,377.6,CA,1212.8,312.0,211
35,Fremont,648.1,CA,1272.1,302.7,209
39,Newark,628.5,CA,1253.1,298.8,201
25,Santa+Clara,878.7,CA,1356.8,309.5,198
12,Milpitas,678.9,CA,1289.6,313.6,197
45,San+Leandro,464.8,CA,1187.2,293.0,197
16,Pleasant+Hill,440.2,CA,1212.8,312.0,197
32,Union+City,530.6,CA,1228.5,303.8,194
33,San+Ramon,482.2,CA,1207.6,303.5,193
22,Walnut+Creek,473.8,CA,1214.1,311.6,193
42,Novato,457.3,CA,1167.4,297.0,190
43,Orinda,510.3,CA,1199.0,296.1,185
55,Redwood+City,925.3,CA,1261.25,277.4,182
34,Danville,490.5,CA,1203.7,303.5,181
52,Oakland,487.5,CA,1161.3,283.7,179
18,Sonoma,525.4,CA,1223.5,312.0,179
40,Menlo+Park,1301.4,CA,1315.65,298.4,167
50,Alameda,574.3,CA,1178.8,284.9,167
41,Palo+Alto,1502.1,CA,1315.65,298.4,164
44,Lafayette,647.4,CA,1199.0,296.1,163
56,San+Carlos,1046.0,CA,1252.9,277.4,159
53,San+Rafael,540.2,CA,1130.6,282.3,158
15,Campbell,811.0,CA,1253.9,312.3,152
14,Los+Gatos,829.0,CA,1253.9,312.3,146
51,San+Francisco,993.9,CA,1228.15,283.7,145
63,Daly+City,656.5,CA,1095.6,261.3,144
46,Berkeley,690.9,CA,1170.2,292.7,140
28,Sunnyvale,1098.4,CA,1255.8,307.7,134
27,Saratoga,1060.2,CA,1253.3,307.8,131
60,Burlingame,1145.1,CA,1218.55,274.3,131
64,Pacifica,702.5,CA,1064.0,260.0,129
61,South+San+Francisco,715.9,CA,1129.9,271.6,129
62,San+Bruno,737.5,CA,1129.9,271.5,129
29,Mountain+View,1090.6,CA,1248.1,306.8,124
54,Mill+Valley,779.0,CA,1130.6,282.3,122
26,Cupertino,1167.9,CA,1253.3,307.8,120
58,Foster+City,888.4,CA,1165.8,276.4,118
59,San+Mateo,922.6,CA,1165.8,276.4,115
30,Los+Altos,1347.3,CA,1248.1,306.8,108
57,Belmont,918.6,CA,1090.15,277.1,100
