City,State,Average_price,SunHours,MaxTempSum,Final_Rank
Pittsburg,CA,266.1,1352.5,321,210.5512278
Antioch,CA,237.8,1277.8,320.3,207.056007
Oakley,CA,245.7,1277.8,320.3,206.5300766
Brentwood,CA,251.9,1277.8,320.3,206.1173211
Suisun+City,CA,239.2,1258,321.8,205.2848032
Fairfield,CA,240.5,1258,321.8,205.1982577
Benicia,CA,336.4,1329.8,316.5,204.8778797
Richmond,CA,377.2,1168.5,219.4,204.8473376
Vacaville,CA,253.4,1286.4,334.2,204.5692227
Martinez,CA,366.6,1329.8,316.5,202.8673611
Vallejo,CA,263.8,1206.1,302.2,202.7693187
American+Canyon,CA,284.4,1231.9,309.8,202.1549262
Gilroy,CA,352.4,1276.8,319.1,199.5328079
Hercules,CA,328.3,1189.3,290.3,199.022357
Pinole,CA,346.4,1189.1,290.3,197.8026946
San+Pablo,CA,325.9,1168.5,289.4,197.7897855
Rohnert+Park,CA,352.3,1208.8,304.5,196.7316779
Morgan+Hill,CA,426.1,1289.5,316.9,195.8878374
Santa+Rosa,CA,388.7,1220.1,302,195.5120023
Napa,CA,387.2,1231.9,309.8,195.3111741
Concord,CA,377.6,1212.8,312,194.2189401
Livermore,CA,463.6,1275.7,313.3,192.9168279
Hayward,CA,435.8,1222.5,301.1,192.6872341
Dublin,CA,487.9,1278.3,311.6,191.7443061
Pleasant+Hill,CA,440.2,1212.8,312,190.0514413
San+Leandro,CA,464.8,1187.2,293,189.3769614
San+Ramon,CA,482.2,1207.6,303.5,188.1453
Walnut+Creek,CA,473.8,1214.1,311.6,187.9698547
Novato,CA,457.3,1167.4,297,187.8242339
Oakland,CA,487.5,1161.3,283.7,187.3557203
Danville,CA,490.5,1203.7,303.5,187.3064281
Pleasanton,CA,558.1,1278.3,311.6,187.070849
Orinda,CA,510.3,1199,296.1,186.7503523
San+Jose,CA,656.7,1362.15,311.8,186.632493
Union+City,CA,530.6,1228.5,303.8,186.4126001
Sonoma,CA,525.4,1223.5,312,185.164905
Alameda,CA,574.3,1178.8,284.9,182.6823442
Newark,CA,628.5,1253.1,298.8,182.4490816
Fremont,CA,648.1,1272.1,302.7,181.9556124
San+Rafael,CA,540.2,1130.6,282.3,181.8029642
Milpitas,CA,678.9,1289.6,313.6,179.5591234
Lafayette,CA,647.4,1199,296.1,177.6231304
Daly+City,CA,656.5,1095.6,261.3,174.6328343
Berkeley,CA,690.9,1170.2,292.7,173.1215575
Santa+Clara,CA,878.7,1356.8,309.5,171.8045279
South+San+Francisco,CA,715.9,1129.9,271.6,171.6554551
San+Bruno,CA,737.5,1129.9,271.5,170.2324294
Pacifica,CA,702.5,1064,260,169.4450872
Campbell,CA,811,1253.9,312.3,168.3384064
Los+Gatos,CA,829,1253.9,312.3,167.1400841
Redwood+City,CA,925.3,1261.25,277.4,166.490072
Mill+Valley,CA,779,1130.6,282.3,165.9052211
Foster+City,CA,888.4,1165.8,276.4,162.0889392
San+Mateo,CA,922.6,1165.8,276.4,159.8121267
San+Francisco,CA,993.9,1228.15,283.7,158.550601
San+Carlos,CA,1046,1252.9,277.4,157.8416534
Belmont,CA,918.6,1090.15,277.1,154.4199726
Saratoga,CA,1060.2,1253.3,307.8,152.3775008
Mountain+View,CA,1090.6,1248.1,306.8,150.1215291
Sunnyvale,CA,1098.4,1255.8,307.7,150.032889
Burlingame,CA,1145.1,1218.55,274.3,149.1862685
Cupertino,CA,1167.9,1253.3,307.8,145.2075387
Menlo+Park,CA,1301.4,1315.65,298.4,142.3036474
Los+Altos,CA,1347.3,1248.1,306.8,133.0321209
Palo+Alto,CA,1502.1,1315.65,298.4,128.9423533
