,City,Average_price,State,SunHours,jantemp,febtemp,martemp,aprtemp,maytemp,juntemp,jultemp,augtemp,septemp,octtemp,novtemp,dectemp,MaxTempSum
0,Alameda,574.3299902000001,CA,1178.8,19.5,20.2,21.2,22.2,25.2,26.4,29.2,28.1,29.0,25.9,20.9,17.1,284.90000000000003
1,American+Canyon,284.4206962,CA,1231.9,19.5,21.1,23.6,24.5,28.3,30.8,34.5,32.0,30.7,27.0,21.1,16.7,309.8
2,Antioch,237.7732742,CA,1277.8,19.0,21.2,24.1,25.2,29.6,33.3,36.0,33.9,32.5,28.5,21.0,16.0,320.30000000000007
3,Belmont,918.6369606000001,CA,1090.15,19.3,20.5,22.1,21.1,23.3,26.1,27.4,27.2,27.1,25.4,20.6,17.0,277.1
4,Benicia,336.4235426,CA,1329.8,20.1,21.1,23.5,25.4,29.1,31.4,33.9,32.3,32.6,28.2,21.9,17.0,316.5
5,Berkeley,690.9238017000001,CA,1170.2,20.3,20.5,21.5,23.1,26.0,27.3,29.6,28.8,29.6,26.4,21.6,18.0,292.70000000000005
6,Brentwood,251.9083412,CA,1277.8,19.0,21.2,24.1,25.2,29.6,33.3,36.0,33.9,32.5,28.5,21.0,16.0,320.30000000000007
7,Burlingame,1145.094973,CA,1218.55,19.8,20.2,20.6,20.6,22.9,24.6,26.9,26.9,27.6,24.8,21.1,18.3,274.3
8,Campbell,811.0249474999999,CA,1253.9,20.7,22.2,24.5,23.6,25.5,31.4,34.8,32.6,30.5,27.2,21.7,17.6,312.3
9,Concord,377.6080985,CA,1212.8,19.6,21.1,23.5,25.0,28.8,31.3,32.8,31.7,31.8,28.1,21.6,16.7,312.00000000000006
10,Cupertino,1167.8925689999999,CA,1253.3,20.7,21.6,24.2,23.2,24.8,30.7,33.8,32.1,30.2,27.0,21.5,18.0,307.79999999999995
11,Daly+City,656.4771913,CA,1095.6,19.0,19.1,19.4,20.0,22.4,23.2,24.7,25.4,26.1,24.4,20.4,17.2,261.3
12,Danville,490.517462,CA,1203.7,19.1,21.0,23.0,23.8,27.6,30.2,32.6,31.0,31.1,27.3,20.7,16.1,303.5
13,Dublin,487.8824518999999,CA,1278.3,19.7,21.5,23.8,23.9,27.5,31.6,34.5,32.1,31.6,28.0,20.9,16.5,311.59999999999997
14,Fairfield,240.499809,CA,1258.0,19.3,21.6,24.4,25.2,29.7,32.9,36.6,33.8,32.6,28.4,21.1,16.2,321.8
15,Foster+City,888.3796348999999,CA,1165.8,19.8,20.5,21.2,20.4,22.9,25.5,27.8,26.8,26.9,25.4,21.4,17.8,276.40000000000003
16,Fremont,648.1428097999999,CA,1272.1,19.7,21.5,23.7,23.2,26.2,29.8,33.6,30.5,30.2,26.6,20.9,16.8,302.7
17,Gilroy,352.38853969999997,CA,1276.8,21.4,22.4,24.8,24.5,28.0,30.3,34.5,32.6,31.5,28.8,22.2,18.1,319.1
18,Hayward,435.75121310000003,CA,1222.5,20.5,21.3,22.8,23.4,26.3,28.4,32.1,29.6,30.5,26.7,21.7,17.8,301.09999999999997
19,Hercules,328.2794639,CA,1189.3,19.7,20.6,21.6,23.4,26.3,27.5,29.8,28.3,29.4,25.9,20.9,16.9,290.3
20,Lafayette,647.3745875,CA,1199.0,19.6,20.3,21.9,23.5,26.7,28.6,30.9,29.5,30.6,26.6,21.1,16.8,296.1000000000001
21,Livermore,463.61164180000003,CA,1275.7,19.5,21.5,23.7,24.0,27.9,32.2,34.8,32.5,31.8,28.3,21.0,16.1,313.30000000000007
22,Los+Altos,1347.298813,CA,1248.1,21.0,21.9,23.8,22.6,25.5,29.8,33.7,31.9,29.6,26.8,21.9,18.3,306.8
23,Los+Gatos,828.9540049999999,CA,1253.9,20.7,22.2,24.5,23.6,25.5,31.4,34.8,32.6,30.5,27.2,21.7,17.6,312.3
24,Martinez,366.6254898,CA,1329.8,20.1,21.1,23.5,25.4,29.1,31.4,33.9,32.3,32.6,28.2,21.9,17.0,316.5
25,Menlo+Park,1301.411559,CA,1315.65,20.4,21.8,23.3,22.6,24.9,28.8,31.7,30.0,29.2,26.4,21.4,17.9,298.3999999999999
26,Mill+Valley,779.0210688999999,CA,1130.6,19.6,20.3,21.2,22.1,25.1,26.5,28.6,27.5,27.4,25.8,20.8,17.4,282.3
